artist_id,artist_name,total_followers,genres,popularity
58MLl9nC29IXbE4nEtuoP2,Alex & Sierra,1084135,"['neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",60
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,40143223,"['modern rock', 'rock']",87
5338fdSzGNOFD4cxAxDTeq,Aaron Carter,266989,"['dance pop', 'post-teen pop']",44
0c173mlxpT3dSFRgMO8XPh,Big Sean,9638302,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",79
4NagmapOfJiPOxJ9vQsrsf,Mikkel S. Eriksen,238,[],19
4Rxn7Im3LGfyRkY2FlHhWi,Nick Jonas,8106290,"['dance pop', 'pop', 'post-teen pop']",65
7LVPSD4kabI5LiXIVPI8tn,Jona,115036,['opm'],43
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,4139890,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",71
1DZGAZcaTA32eLJELEsjXY,Kiana V,42776,['pinoy indie'],43
4qBgvVog0wzW75IQ48mU7v,KYLE,1015920,"['pop', 'pop rap', 'rap']",67
2yEkZBBjhzKzt6LF5XMaFi,Blue,476646,"['boy band', 'dance pop', 'europop']",60
1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,5247832,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",73
3Nrfpe0tUJi4K4DXYWgMUX,BTS,49793249,"['k-pop', 'k-pop boy group']",91
0dtmYDbYpwcdHPBI1OJatT,Hugh Grant,6559,['hollywood'],44
5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,4508427,"['boy band', 'dance pop']",74
2XMxHczWkSzDDFhiC3zt8k,Marié Digby,68612,['lilith'],41
0L6Gwm0JDrgIQJfjarWSUR,Edwin McCain,272600,"['acoustic pop', 'neo mellow', 'pop rock']",53
0AvtzKTYleNqdJXoZasQWG,Stephen Speaks,140878,"['acoustic pop', 'neo mellow', 'opm', 'pop rock', 'viral pop']",56
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,1776939,"['boy band', 'dance pop', 'post-teen pop']",66
0lJlKQvuM2Sd9DPPyUXcHg,Sixpence None The Richer,384067,"['neo mellow', 'pop rock']",60
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,10822462,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",76
3QLIkT4rD2FMusaqmkepbq,Rachel Platten,843228,"['dance pop', 'neo mellow', 'pop', 'pop rock']",62
3z0IVhtuFvt9VYUZGT98PU,Jay R,137754,['opm'],44
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,13662141,"['dance pop', 'piano rock', 'pop', 'pop rock']",81
3FUY2gzHeIiaesXtOAdB7A,Train,4023473,"['dance pop', 'neo mellow', 'pop', 'pop rock']",72
0xNog7ZdcTq9sJFiIXJJTH,Kaye Cal,473277,['opm'],43
246dkjvS1zLTtiykXe5h60,Post Malone,36922745,"['dfw rap', 'melodic rap', 'rap']",87
23fqKkggKUBHNkbKtXEls4,Kygo,8029668,"['edm', 'pop', 'pop dance', 'tropical house']",80
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,21789794,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",82
09DdQEMQaaq0f99vqqub3V,krissy & ericka,24664,['acoustic opm'],45
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,16329107,"['art pop', 'pop']",84
2qxJFvFYMEDqd7ui6kSAcq,Zedd,5754481,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']",75
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,11155646,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",80
2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,2210282,"['contemporary country', 'country pop']",71
1bqxdqvUtPWZri43cKHac8,MAX,747702,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",69
163tK9Wjr9P9DmM0AVK7lm,Lorde,9487338,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop']",76
1RyvyyTE3xzB2ZywiAwp0i,Future,11547130,"['atl hip hop', 'rap', 'southern hip hop', 'trap']",89
6LuN9FCkKOj5PcnpouEgny,Khalid,15250770,"['pop', 'pop r&b']",85
1xHQO9GJIW9OXHxGBISYc5,Marian Hill,453900,['electropop'],55
4Q6nIcaBED8qUel8bBx6Cr,Jax Jones,1022948,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'tropical house', 'uk dance']",75
5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,459754,['opm'],54
4S9EykWXhStSc15wEx8QFK,Céline Dion,6098354,"['canadian pop', 'dance pop']",73
4N3cNXg5phUzRzuJYYxQlV,Emma Watson,75495,"['disney', 'hollywood', 'movie tunes', 'show tunes']",51
4tB1f1h4TQqDz4bNaibMpl,Emma Thompson,3257,['show tunes'],48
5lLVsxABqSuosfqAoLQeXV,Dan Stevens,5587,"['disney', 'hollywood', 'movie tunes', 'show tunes']",49
105Paee9vmV5rfLSG652e1,Ewan McGregor,29584,['hollywood'],53
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,24260099,"['big room', 'dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",86
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,33990070,"['dance pop', 'pop', 'uk pop']",88
2MoxYOhy9ooC8KRcdgIFif,Leroy Styles,3662,['dutch edm'],23
7DMveApC7UnC2NPfPvlHSU,Cheat Codes,2057024,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'tropical house']",73
